代號,名稱,收盤價,月平均價
2345,智邦,92.5,92.31,
2347,聯強,33.45,33.85,
2348,海悅,44.85,48.54,
2349,錸德,10.15,10.58,
2351,順德,66.6,69.1,
2352,佳世達,18.2,18.34,
2353,宏碁,19.05,20.56,
2354,鴻準,60.9,64.27,
2355,敬鵬,37.4,36.6,
2356,英業達,22.0,24.04,
2357,華碩,216.5,224.62,
2358,廷鑫,16.35,16.38,
2359,所羅門,16.8,16.91,
2360,致茂,112.0,116.56,
2362,藍天,27.55,26.17,
2363,矽統,8.8,8.21,
2364,倫飛,3.08,3.26,
2365,昆盈,8.62,8.44,
2367,燿華,13.6,13.37,
2368,金像電,12.4,11.51,
2369,菱生,8.8,8.69,
2371,大同,39.05,39.15,
2373,震旦行,94.4,94.92,
2374,佳能,12.85,12.49,
2375,智寶,28.5,29.57,
2376,技嘉,38.05,40.08,
2377,微星,66.6,70.38,
2379,瑞昱,125.5,126.85,
2380,虹光,4.4,4.31,
2382,廣達,48.9,49.3,
2383,台光電,69.0,70.33,
2385,群光,60.6,60.63,
2388,威盛,25.85,23.36,
2390,云辰,10.5,11.0,
2392,正崴,24.15,22.61,
2393,億光,28.85,28.06,
2395,研華,221.0,224.71,
2397,友通,65.2,59.69,
2399,映泰,9.32,9.84,
2401,凌陽,11.1,10.8,
2402,毅嘉,14.05,14.52,
2404,漢唐,63.9,58.98,
2405,浩鑫,11.6,11.15,
2406,國碩,7.91,7.77,
2408,南亞科,56.1,55.62,
2409,友達,12.5,12.28,
2412,中華電,108.0,106.76,
2413,環科,20.05,19.73,
2414,精技,18.95,18.86,
2415,錩新,20.1,20.9,
2417,圓剛,9.82,10.1,
2419,仲琦,19.0,19.05,
2420,新巨,31.2,30.15,
2421,建準,35.0,34.7,
2423,固緯,21.95,21.74,
2424,隴華,32.0,30.86,
2425,承啟,26.7,30.07,
2426,鼎元,16.1,16.22,
2427,三商電,11.3,11.37,
2428,興勤,75.2,69.49,
2429,銘旺科,9.79,9.95,
2430,燦坤,19.5,19.41,
2431,聯昌,8.72,8.48,
2433,互盛電,41.7,40.77,
2434,統懋,9.3,9.66,
2436,偉詮電,23.8,22.98,
2438,翔耀,6.11,6.29,
2439,美律,120.0,126.62,
2440,太空梭,7.95,7.76,
2441,超豐,40.4,40.81,
2442,新美齊,13.3,13.5,
2443,新利虹,4.74,4.99,
2444,兆勁,17.65,15.9,
2448,晶電,24.1,25.24,
2449,京元電子,20.25,19.61,
2450,神腦,34.4,34.95,
2451,創見,69.9,68.35,
2453,凌群,11.2,11.33,
2454,聯發科,222.0,227.79,
2455,全新,54.2,56.34,
2456,奇力新,79.2,79.95,
2457,飛宏,9.47,8.73,
2458,義隆,63.2,64.64,
2459,敦吉,36.0,35.74,
2460,建通,9.76,9.64,
