代號,五年均,y18,y17,y16,y15,y14,y13,y12,y11,y10,y09,y08,y07,y06,y05,y04,y03,y02,y01
1611,0.200,1,0,0,0,0,0.2,1.2,1.28,1.2,0.6,1.2,1,0.4,0.3,1,0.5,0.5,0.34
1612,0.478,0.5,0.28,0.26,0.6,0.75,0.22,0.3,0.6,0.5,0.26,1.6,1.2,0.8,0.45,0.5,0.71,0,0.5
1614,0.844,0.7,1.05,0.81,0.76,0.9,0.86,1.19,0.92,1.16,0.32,1.12,1.18,1.5,1.43,1.31,0.9,0.6,0.5
1615,0.510,0.9,0.75,0.3,0.3,0.3,0.4,0.5,1.2,1,0.25,0.91,1.35,0,0.32,0,0,0,0
1616,0.000,0,0,0,0,0,0,0,0,0,0,0,0.2,0.28,0.3,0,0,0,0
1617,0.320,0.6,0.4,0.3,0.3,0,0,0,0.4,0,0,0.1,0.3,0.2,0.5,0.4,1,1,0.8
1618,0.230,0.3,0.3,0.35,0.2,0,0.5,0.5,0.3,0,0,0,0,0,0.3,0,0,0,0
1626,0.730,0.1,1,0,0,2.55,2.5,,,,,,,,,,,,
1701,0.580,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.7,0.7,0.2,0.5,0.7,0.7,0.5,0.2,0,0,0
1702,2.442,2.7,2.81,2.6,2.1,2,1,0.55,1.4,0,0,0,0,0,0,0,0,0,0
1704,1.580,2.9,3,1.5,0,0.5,0.75,2.6,3.35,3,1.25,2.7,1.8,1.6,1.2,0.29,0.7,0.2,0.21
1707,5.796,6.68,6.4,5.6,5.3,5,3.7,3,2.5,2,1,1.2,0.8,0.6,0.41,0,0,0,0
1708,0.800,1,0.5,0.5,1.5,0.5,0.5,1.5,1.5,1.5,1.5,1.5,1,0.7,0.25,0.4,0.15,0,0
1709,1.078,1.5,1.51,1.18,0.6,0.6,0.3,0.8,0.5,0,0.25,0,0.35,0.4,0,0.35,0.35,0.26,0.3
1710,0.930,1.75,0.2,0.5,1,1.2,1.2,2,2.4,1.7,1,2.2,1.5,2,2.5,1.5,0.6,0.6,0
1711,0.500,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.2,0.3,0.3,0.5,0.5,0.5,0.5,0.15,0
1712,0.848,1,0.94,0.6,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.6,0.6,0.2,0.3,0.2,0.2,0.2,0
1713,0.492,0.44,0.58,0.41,0.55,0.48,0.45,0.31,0.36,0.13,0.1,0.3,0.25,0.5,0.5,0.15,0.4,0.4,0.7
